name,altName,precinct,zipCode,legislative,congressional,judicial,appellate,councilman,isPublic,snowRoute,Location 1
Hampstead Hill Academy,School No. 47,1,21224,46,3,8,6,1,1,Primary,"500 Linwood Avenue
Baltimore, MD
(39.28596538, -76.5758974)"
Engine House No. 5,Engine House No. 5,2,21231,46,3,8,6,1,1,Primary,"2120 Eastern Avenue
Baltimore, MD
(39.28596212, -76.58637911)"
Hampstead Hill Academy,School No. 47,3,21224,46,3,8,6,1,1,Primary,"500 Linwood Avenue
Baltimore, MD
(39.28596538, -76.5758974)"
St. Brigid's Church,St. Brigid's Church,4,21224,46,3,8,6,1,1,Primary,"900 East Avenue
Baltimore, MD
(39.28235066, -76.57136559)"
Hatton Senior Citizens Center,Hatton Senior Citizens Cen,5,21224,46,3,8,6,1,1,Secondary,"2825 Fait Avenue
Baltimore, MD
(39.28312929, -76.57598627)"
St. Michaels' Church Hall,St. Michaels' Church Hall,1,21231,46,3,8,6,1,1,Primary,"1 Wolfe Street
Baltimore, MD
(39.29129148, -76.5903272)"
General Wolfe Elementary,School No. 23,2,21231,46,3,8,6,1,1,Primary,"245 Wolfe Street
Baltimore, MD
(39.2886566, -76.59016347)"
Lemko House,Lemko House,3,21231,46,3,8,6,1,1,Primary,"603 Ann Street
Baltimore, MD
(39.28460318, -76.59121826)"
Lombard Middle,School No. 57,1,21231,46,7,8,6,1,1,Primary,"1601 Lombard St
Baltimore, MD
(39.28628727, -76.64226438)"
St. Leo's Church Hall,St. Leo's Church Hall,3,21202,46,3,8,6,1,1,Primary,"225 Exeter Street
Baltimore, MD
(39.2873401, -76.60104623)"
Charles Twin Tower Apartme,Charles Twin Tower Apartme,1,21201,46,7,8,6,11,1,Primary,"222 Charles Street
Baltimore, MD
(39.29164287, -76.6153778)"
Steadman Fire Station,Steadman Fire Station,2,21201,44,7,8,6,11,1,Primary,"15 Eutaw Street
Baltimore, MD
(39.28811284, -76.62074179)"
Murty Center-Poe Auditorium,Murty Center-Poe Auditorium,3,21201,44,7,8,6,11,1,Primary,"206 Fremont Avenue
Baltimore, MD
(39.2911959, -76.63022937)"
Pleasant View Gardens,Pleasant View Gardens,1,21202,44,7,8,6,12,1,Primary,"201 Aisquith Street
Baltimore, MD
(39.29395766, -76.60160474)"
Monument East Apartments,Monument East Apartments,2,21202,44,7,8,6,12,1,Primary,"633 Asquith Street
Baltimore, MD
(39.29777874, -76.60198884)"
William Paca Elementary,School No. 83,1,21224,46,7,8,6,13,1,Primary,"200 Lakewood Avenue
Baltimore, MD
(39.29471291, -76.5793166)"
Commodore John Rogers Elem,School No. 27,2,21231,45,7,8,6,13,1,Secondary,"100 Chester Street
Baltimore, MD
(39.29342614, -76.58763127)"
Commodore John Rogers Elem,School No. 27,3,21231,44,7,8,6,13,1,Secondary,"100 Chester Street
Baltimore, MD
(39.29342614, -76.58763127)"
Commodore John Rogers Elem,School No. 27,4,21231,46,7,8,6,1,1,Secondary,"100 Chester Street
Baltimore, MD
(39.29342614, -76.58763127)"
William Paca Elementary,School No. 83,5,21224,46,3,8,6,1,1,Primary,"200 Lakewood Avenue
Baltimore, MD
(39.29471291, -76.5793166)"
Tench Tilghman Elementary,School No. 13,2,21205,44,7,8,6,13,0,Primary,"600 Patterson Park
Baltimore, MD
(39.29763506, -76.58515914)"
Tench Tilghman Elementary,School No. 13,3,21205,45,7,8,6,13,1,Primary,"600 Patterson Park
Baltimore, MD
(39.29763506, -76.58515914)"
Bocek Playfield,Bocek Playfield,4,21205,45,7,8,6,13,1,Primary,"3000 Madison Street
Baltimore, MD
(39.30026577, -76.57494982)"
The Maryland State Boychoir Center for the Arts,The Maryland State Boychoir Center for the Arts,1,21213,45,3,8,6,3,1,Secondary,"3400 Norman Avenue
Baltimore, MD
(39.32689274, -76.5795581)"
The Maryland State Boychoir Center for the Arts,The Maryland State Boychoir Center for the Arts,2,21213,45,3,8,6,3,0,Secondary,"3400 Norman Avenue
Baltimore, MD
(39.32689274, -76.5795581)"
Catholic High School,Catholic High School,3,21213,45,7,8,6,13,0,Primary,"2800 Edison Highway
Baltimore, MD
(39.31653188, -76.5730892)"
Harford Heights Elementary,School No. 36,4,21213,45,7,8,6,14,1,Primary,"1919 Broadway
Baltimore, MD
(39.31278561, -76.5952483)"
Harford Heights Elementary,School No. 36,5,21213,45,7,8,6,12,1,Primary,"1919 Broadway
Baltimore, MD
(39.31278561, -76.5952483)"
Dr. Bernard Harris Sr. Elem,School No. 250,6,21213,45,7,8,6,12,1,Primary,"1400 Caroline Street
Baltimore, MD
(39.3062744, -76.59821397)"
Dr. Bernard Harris Sr. Elem,School No. 250,7,21213,45,7,8,6,12,0,Primary,"1400 Caroline Street
Baltimore, MD
(39.3062744, -76.59821397)"
Truck Co. No. 15,Truck Co. No. 15,8,21213,45,7,8,6,13,1,Secondary,"1223 Montford Ave
Baltimore, MD
(39.30523544, -76.58401491)"
Collington Square Rec Center,Collington Square Recreati,9,21213,45,7,8,6,13,1,Secondary,"1409 Collington Avenue
Baltimore, MD
(39.30714672, -76.58707268)"
Forth Worthington Elementary,School No. 85,10,21213,45,7,8,6,13,1,Secondary,"2701 Oliver Street
Baltimore, MD
(39.30797262, -76.58000896)"
Lakewood Elementary,School No. 86,11,21213,45,7,8,6,13,1,Primary,"2625 Federal Street
Baltimore, MD
(39.30894802, -76.58101893)"
Church of the Redeemed of God,Church of the Redeemed of,1,21212,43,7,8,6,14,1,Primary,"4321 Old York Road
Baltimore, MD
(39.3415951, -76.60780537)"
Ellerslie Apartments,Ellerslie Apartments,2,21218,43,7,8,6,14,1,Primary,"601 Wyanoke Avenue
Baltimore, MD
(39.33722315, -76.60752749)"
Waverly Elem/Middle,School No. 51,3,21218,43,7,8,6,14,1,Primary,"3400 Ellerslie Avenue
Baltimore, MD
(39.3298657, -76.60371112)"
Waverly Elem/Middle,School No. 51,4,21218,43,7,8,6,14,1,Primary,"3400 Ellerslie Avenue
Baltimore, MD
(39.3298657, -76.60371112)"
Mergenthaler Vo Tech High,School No. 410,5,21218,43,7,8,6,14,1,Primary,"3500 Hillen Road
Baltimore, MD
(39.33280021, -76.58900646)"
Mergenthaler Vo Tech High,School No. 410,6,21218,43,7,8,6,14,1,Primary,"3500 Hillen Road
Baltimore, MD
(39.33280021, -76.58900646)"
Montebello Elementary,School No. 44,7,21218,43,7,8,6,14,1,Primary,"2040 32nd Street
Baltimore, MD
(39.32740179, -76.58669088)"
Mason Hall,Mason Hall,8,21218,43,7,8,6,14,1,Primary,"1640 44 Gorsuch Avenue
Baltimore, MD
(39.32137159, -76.59472607)"
Coldstream Park Elem/Middle,School No. 31,9,21218,43,7,8,6,14,1,Primary,"1400 Exeter Hall Avenue
Baltimore, MD
(39.32037617, -76.60151875)"
Engine House No. 31,Engine House No. 31,10,21218,43,7,8,6,14,1,Primary,"3123 Greenmount Avenue
Baltimore, MD
(39.32682954, -76.60930482)"
Coldstream Park Elem/Middle,School No. 31,11,21218,43,7,8,6,14,1,Primary,"1400 Exeter Hall Avenue
Baltimore, MD
(39.32037617, -76.60151875)"
Mason Hall,Mason Hall,12,21218,45,7,8,6,14,1,Primary,"1640 44 Gorsuch Avenue
Baltimore, MD
(39.32137159, -76.59472607)"
Cecil Elementary,School No. 7,13,21218,45,7,8,6,12,1,Secondary,"2000 Cecil Avenue
Baltimore, MD
(39.31306848, -76.60535515)"
Cecil Elementary,School No. 7,14,21218,43,7,8,6,12,1,Secondary,"2000 Cecil Avenue
Baltimore, MD
(39.31306848, -76.60535515)"
Oliver Multi-Purpose Center,Oliver Multi-Purpose Cente,15,21218,45,7,8,6,12,1,Secondary,"1400 Federal Street
Baltimore, MD
(39.30841385, -76.59977904)"
Johnston Square Elementary,School No. 16,1,21202,44,7,8,6,12,1,Primary,"1101 Valley Street
Baltimore, MD
(39.30284843, -76.60486743)"
Waters Tower,Waters Tower,2,21205,44,7,8,6,12,1,Primary,"1400 Madison Street
Baltimore, MD
(39.29932862, -76.5991928)"
Latrobe Homes,Latrobe Homes,3,21202,40,7,8,6,12,1,Primary,"900 Madison Street
Baltimore, MD
(39.29909348, -76.60508149)"
Johnston Square Elementary,School No. 16,4,21202,40,7,8,6,12,1,Primary,"1101 Valley Street
Baltimore, MD
(39.30284843, -76.60486743)"
Chase House,Chase House,1,21201,40,7,8,6,12,1,Primary,"1027 Cathedral Street
Baltimore, MD
(39.3019096, -76.61780608)"
Chase House,Chase House,2,21201,40,7,8,6,11,1,Primary,"1027 Cathedral Street
Baltimore, MD
(39.3019096, -76.61780608)"
Brown Memorial Church,Brown Memorial Church,3,21217,40,7,8,6,11,1,Primary,"1316 Park Avenue
Baltimore, MD
(39.30615208, -76.62329881)"
McCulloh Homes,McCulloh Homes,4,21217,44,7,8,6,11,1,Primary,"501 Dolphin Street
Baltimore, MD
(39.30069202, -76.62799961)"
Chase House,Chase House,5,21201,44,7,8,6,11,1,Primary,"1027 Cathedral Street
Baltimore, MD
(39.3019096, -76.61780608)"
Central Library,Central Library,6,21201,44,7,8,6,11,1,Primary,"400 Cathedral Street
Baltimore, MD
(39.29406859, -76.61691804)"
Waxter Center,Waxter Center,7,21202,40,7,8,6,11,1,Primary,"1000 Cathedral Street
Baltimore, MD
(39.30088636, -76.61767713)"
1st English Lutheran Church,1st English Lutheran Churc,1,21218,43,3,8,6,14,1,Primary,"3807 Charles Street
Baltimore, MD
(39.33516208, -76.61801574)"
1st English Lutheran Church,1st English Lutheran Churc,2,21218,43,7,8,6,14,1,Primary,"3807 Charles Street
Baltimore, MD
(39.33516208, -76.61801574)"
The Greenmount School,The Greenmount School,3,21211,40,7,8,6,14,0,Secondary,"501 30th Street
Baltimore, MD
(39.32212539, -76.62474148)"
Library No. 9,Library No. 9,4,21218,43,7,8,6,14,1,Primary,"400 33rd Street
Baltimore, MD
(39.32849942, -76.61106235)"
Library No. 9,Library No. 9,5,21218,43,7,8,6,14,1,Primary,"400 33rd Street
Baltimore, MD
(39.32849942, -76.61106235)"
Barclay Elem/Middle,School No. 54,6,21218,40,7,8,6,14,1,Primary,"2900 Barclay Street
Baltimore, MD
(39.32346571, -76.61123455)"
Barclay Elem/Middle,School No. 54,7,21218,43,7,8,6,12,1,Primary,"2900 Barclay Street
Baltimore, MD
(39.32346571, -76.61123455)"
Margaret Brent Elementary,School No. 53,8,21218,40,7,8,6,12,1,Primary,"100 26th Street
Baltimore, MD
(39.31938468, -76.61847208)"
The Wyman House,The Wyman House,9,21218,40,7,8,6,7,1,Primary,"123 29th Street
Baltimore, MD
(39.32301591, -76.61942981)"
Brentwood Apartments,Brentwood Apartments,10,21218,40,7,8,6,12,1,Primary,"401 25th Street
Baltimore, MD
(39.31797262, -76.61110357)"
The West Twenty Apartments,The West Twenty Apartments,11,21218,40,7,8,6,12,1,Secondary,"11 20th Street
Baltimore, MD
(39.31212447, -76.61704525)"
Dallas Nicholas Elementary,School No. 39,12,21218,40,7,8,6,12,1,Primary,"201 21st Street
Baltimore, MD
(39.3132602, -76.61391703)"
Keswick Multi-Care Center,Keswick Multi-Care Center,1,21211,40,3,8,6,14,1,Primary,"700 40th Street
Baltimore, MD
(39.33729432, -76.62844549)"
Engine House No. 21,Engine House No. 21,2,21211,40,3,8,6,14,1,Primary,"3724 Roland Avenue
Baltimore, MD
(39.33355431, -76.63293647)"
Robert Poole Middle,School No. 56,3,21211,40,3,8,6,7,1,Primary,"1300 36th Street
Baltimore, MD
(39.33057463, -76.63690868)"
Medfield Heights Elementary,School No. 249,4,21211,40,3,8,6,7,1,Secondary,"4300 Buchanan Avenue
Baltimore, MD
(39.34033263, -76.6419854)"
Shiloh United Church Apostolic,Shiloh United Church Apostolic,5,21211,40,3,8,6,7,1,Secondary,"2000 Druid Park Drive
Baltimore, MD
(39.33364875, -76.64896697)"
Engine House No. 52,Engine House No. 52,6,21217,40,7,8,6,7,1,Primary,"3525 Woodbrook Avenue
Baltimore, MD
(39.31880926, -76.65139482)"
Westside Elementary,School No. 24,7,21217,40,7,8,6,7,1,Primary,"2235 Fulton Avenue
Baltimore, MD
(39.3143115, -76.64498059)"
Beth Am In Town Synagogue,Beth Am In Town Synagogue,8,21217,40,7,8,6,11,1,Primary,"2501 Eutaw Place
Baltimore, MD
(39.31443108, -76.63771238)"
Lakeview Tower Apartments,Lakeview Tower Apartments,9,21217,40,7,8,6,11,1,Primary,"727 Druid Park Lake
Baltimore, MD
(39.31656653, -76.63256509)"
John Eager Howard Elementary,School No. 61,10,21217,40,7,8,6,11,1,Primary,"2011 Linden Avenue
Baltimore, MD
(39.31095098, -76.63264035)"
Hampden Elementary,School No. 55,11,21211,40,7,8,6,7,1,Secondary,"3608 Chestnut Avenue
Baltimore, MD
(39.33175054, -76.62953253)"
Hampden Elementary,School No. 55,12,21211,40,3,8,6,14,1,Secondary,"3608 Chestnut Avenue
Baltimore, MD
(39.33175054, -76.62953253)"
Mt. Royal Recreation Center,Mt. Royal Recreation Center,1,21217,40,7,8,6,11,1,Secondary,"120 Mosher Street
Baltimore, MD
(39.30881784, -76.62359047)"
Mt. Royal Recreation Center,Mt. Royal Recreation Center,2,21217,44,7,8,6,11,1,Secondary,"120 Mosher Street
Baltimore, MD
(39.30881784, -76.62359047)"
Engine House No. 13,Engine House No. 13,3,21217,44,7,8,6,11,1,Primary,"405 McMechen Street
Baltimore, MD
(39.30513659, -76.63028808)"
Eutaw Marshburn Elementary,School No. 11,4,21217,44,7,8,6,11,1,Primary,"1624 Eutaw Place
Baltimore, MD
(39.30639368, -76.629513)"
Library No. 17,Library No. 17,5,21217,44,7,8,6,11,1,Primary,"1531 North Avenue
Baltimore, MD
(39.31002253, -76.64155394)"
George McMechen Middle/Sr.,School No. 177,1,21215,41,7,8,6,6,1,Primary,"4411 Garrison Boulevard
Baltimore, MD
(39.33675172, -76.68463318)"
Forest Park Senior High,School No. 406,2,21207,41,7,8,6,6,1,Primary,"3701 Eldorado Avenue
Baltimore, MD
(39.33170534, -76.69039368)"
Callaway Elementary,School No. 251,3,21215,41,7,8,6,6,1,Primary,"3701 Fernhill Avenue
Baltimore, MD
(39.33684357, -76.67766942)"
Ashburton Elem/Middle,School No. 58,4,21215,40,7,8,6,6,1,Primary,"3935 Hilton Road
Baltimore, MD
(39.33108886, -76.66790402)"
Ashburton Elem/Middle,School No. 58,5,21215,40,7,8,6,7,1,Primary,"3935 Hilton Road
Baltimore, MD
(39.33108886, -76.66790402)"
Gwyns Falls Elementary,School No. 60,6,21216,40,7,8,6,7,1,Primary,"2700 Gwynns Falls
Baltimore, MD
(39.31487542, -76.66260987)"
Hilton Elementary,School No. 21,7,21216,41,7,8,6,7,1,Primary,"3301 Carlisle Avenue
Baltimore, MD
(39.31935491, -76.67300961)"
Liberty Grace Church of God,Liberty Grace Church of Go,8,21215,41,7,8,6,6,1,Primary,"3400 Copely Road
Baltimore, MD
(39.32608696, -76.67772623)"
Liberty Elementary,School No. 64,9,21207,41,7,8,6,6,1,Primary,"3901 Maine Avenue
Baltimore, MD
(39.32599971, -76.68277395)"
Windsor Hills Elementary,School No. 87,10,21216,41,7,8,6,6,1,Secondary,"4001 Alto Road
Baltimore, MD
(39.31698158, -76.68264859)"
Edgewood Elementary,School No. 67,11,21216,41,7,8,6,7,1,Primary,"1900 Edgewood Street
Baltimore, MD
(39.30887663, -76.67600138)"
Library No. 8,Library No. 8,12,21216,41,7,8,6,7,1,Primary,"3203 North Avenue
Baltimore, MD
(39.30884945, -76.67116797)"
Library No. 8,Library No. 8,13,21216,40,7,8,6,7,1,Primary,"3203 North Avenue
Baltimore, MD
(39.30884945, -76.67116797)"
Gwyns Falls Elementary,School No. 60,14,21216,40,7,8,6,7,1,Primary,"2700 Gwynns Falls
Baltimore, MD
(39.31487542, -76.66260987)"
Easterwood Park Recreation,Easterwood Park Recreation,15,21216,40,7,8,6,7,1,Primary,"1530 Bentalou Street
Baltimore, MD
(39.30514959, -76.65394743)"
Carver Voc. Tech High,School No. 454,16,21216,40,7,8,6,7,1,Secondary,"2201 Presstmant Street
Baltimore, MD
(39.30498671, -76.65244894)"
Matthew Henson Elementary,School No. 29,17,21216,40,7,8,6,7,1,Primary,"1600 Payson Street
Baltimore, MD
(39.30656296, -76.64981765)"
Gilmore Elementary,School No. 107,18,21217,40,7,8,6,7,1,Secondary,"1311 Gilmor Street
Baltimore, MD
(39.30346874, -76.6431092)"
George G. Kelson Elem/Middle,School No. 157,19,21217,44,7,8,6,7,1,Secondary,"701 Gold Street
Baltimore, MD
(39.30658081, -76.64048562)"
Robert W. Coleman Elementary,School No. 142,20,21216,40,7,8,6,7,1,Primary,"2400 Windsor Avenue
Baltimore, MD
(39.31237377, -76.65582223)"
Engine House No. 52,Engine House No. 52,21,21217,40,7,8,6,7,1,Primary,"3525 Woodbrook Avenue
Baltimore, MD
(39.31880926, -76.65139482)"
Greenhill Housing,Greenhill Housing,22,21215,40,7,8,6,7,1,Secondary,"2501 Violet Avenue
Baltimore, MD
(39.33120935, -76.65838751)"
Martin Luther King Elementary,School No. 254,23,21211,40,7,8,6,6,1,Primary,"3750 Greenspring Avenue
Baltimore, MD
(39.33349607, -76.65604334)"
Towanda Recreation Center,Towanda Recreation Center,24,21215,40,7,8,6,6,1,Secondary,"4100 Towanda Avenue
Baltimore, MD
(39.33475851, -76.66626011)"
Towanda Recreation Center,Towanda Recreation Center,25,21215,40,7,8,6,6,1,Secondary,"4100 Towanda Avenue
Baltimore, MD
(39.33475851, -76.66626011)"
William Pinderhughes Elementary,School No. 28,1,21217,44,7,8,6,11,1,Primary,"1200 Fremont Avenue
Baltimore, MD
(39.30306054, -76.6367521)"
Harlem Park Elementary,School No. 35,2,21217,44,7,8,6,11,1,Secondary,"801 Stricker Street
Baltimore, MD
(39.29844461, -76.64140515)"
Harlem Park Elementary,School No. 35,3,21217,44,7,8,6,11,1,Secondary,"801 Stricker Street
Baltimore, MD
(39.29844461, -76.64140515)"
Harriet Tubman Elementary,School No. 138,4,21217,44,7,8,6,9,1,Secondary,"1807 Harlem Avenue
Baltimore, MD
(39.29633798, -76.64633485)"
Sandtown/Winchester Commun,Sandtown/Winchester Commun,5,21217,44,7,8,6,9,0,Secondary,"1114 Mount Street
Baltimore, MD
(39.30128308, -76.64461428)"
Calverton Middle,School No. 75,6,21216,40,7,8,6,9,1,Secondary,"1100 Whitmore Avenue
Baltimore, MD
(39.3005313, -76.65828093)"
Empowerment Academy,School No. 262,7,21216,44,7,8,6,9,1,Primary,"851 Braddish Avenue
Baltimore, MD
(39.29739362, -76.65944038)"
Empowerment Academy,School No. 262,8,21216,44,7,8,6,9,1,Primary,"851 Braddish Avenue
Baltimore, MD
(39.29739362, -76.65944038)"
Alexander Hamilton Elementary,School No. 145,9,21216,40,7,8,6,9,1,Primary,"800 Poplar Grove Street
Baltimore, MD
(39.297152, -76.6651765)"
Calverton Middle,School No. 75,10,21216,40,7,8,6,9,1,Secondary,"1100 Whitmore Avenue
Baltimore, MD
(39.3005313, -76.65828093)"
Rosemont Elementary,School No. 63,11,21216,40,7,8,6,9,1,Secondary,"2777 Presstman Street
Baltimore, MD
(39.30459596, -76.66315706)"
Belmont Elementary,School No. 217,12,21216,40,7,8,6,9,1,Secondary,"1406 Ellamont Street
Baltimore, MD
(39.30316689, -76.67070226)"
St. Bernadine's Hall,St. Bernadine's Hall,13,21229,41,7,8,6,8,1,Secondary,"614 Mt Holly Street
Baltimore, MD
(39.29442165, -76.67992084)"
Lynhurst Elementary,School No. 88,14,21229,41,7,8,6,8,1,Primary,"621 Wildwood Parkway
Baltimore, MD
(39.29443358, -76.68377429)"
McCulloh Homes,McCulloh Homes,1,21217,44,7,8,6,11,1,Primary,"501 Dolphin Street
Baltimore, MD
(39.30069202, -76.62799961)"
Providence Insp. Baptist Church,Providence Insp. Baptist Church,2,21201,44,7,8,6,11,1,Secondary,"850 Edmondson Avenue
Baltimore, MD
(39.29617895, -76.63242833)"
Greater Model Community Center,Greater Model Community  C,1,21223,44,7,8,6,11,1,Primary,"1051 Saratoga Street
Baltimore, MD
(39.29234979, -76.63475576)"
James McHenry,School No. 10,2,21223,44,7,8,6,9,1,Secondary,"31 Schroeder Street
Baltimore, MD
(39.2877702, -76.63361908)"
Franklin Square Elementary,School No. 95,1,21223,44,7,8,6,9,1,Primary,"1400 Lexington
Baltimore, MD
(39.29088414, -76.63971747)"
Stewart Hill Elem/Middle,School No. 4,2,21223,44,7,8,6,9,1,Primary,"30 Gilmor Street
Baltimore, MD
(39.287192, -76.64241987)"
Bantalou Elementary,School No. 150,1,21223,44,7,8,6,9,1,Secondary,"220 Bentalou
Baltimore, MD
(39.29113181, -76.65313618)"
Stewart Hill Elem/Middle,School No. 4,2,21223,44,7,8,6,9,1,Primary,"30 Gilmor Street
Baltimore, MD
(39.287192, -76.64241987)"
Frederick Elementary,School No. 260,3,21223,44,7,8,6,9,1,Primary,"2501 Frederick Avenue
Baltimore, MD
(39.28330426, -76.65588796)"
Voting Machine Warehouse,Voting Machine Warehouse,4,21223,44,7,8,6,9,1,Primary,"301 Franklintown
Baltimore, MD
(39.29231039, -76.66173199)"
Hilton Recreation Center,Hilton Recreation Center,5,21229,44,7,8,6,8,1,Secondary,"2950 Phelps Lane
Baltimore, MD
(39.28880129, -76.66931078)"
Mary E. Rodman Recreation Cntr,Mary E. Rodman Recreation,6,21229,41,7,8,6,8,1,Secondary,"3600 Mulberry
Baltimore, MD
(39.29188527, -76.67730009)"
Sarah M. Roach Elementary,School No. 73,7,21229,44,7,8,6,8,1,Primary,"3434 Old Frederick Road
Baltimore, MD
(39.28228472, -76.67429557)"
Sarah M. Roach Elementary,School No. 73,8,21229,44,7,8,6,8,1,Primary,"3434 Old Frederick Road
Baltimore, MD
(39.28228472, -76.67429557)"
Acadamy of  Success,Acadamy of  Success,9,21223,44,7,8,6,8,0,Primary,"525 Hurley Avenue
Baltimore, MD
(39.27774515, -76.66306546)"
Frederick Elementary,School No. 260,10,21223,44,7,8,6,9,1,Primary,"2501 Frederick Avenue
Baltimore, MD
(39.28330426, -76.65588796)"
